ID,projectID,projectName,duration,field,views,appreciations,comments,pic,color,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
148,34974357,Mechanical Hand Drill,1307,Industrial Design,113,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/d36b0d34974357.Y3JvcCwzMTg2LDI0OTYsMzk0LDI0Ng.jpg,"[{'r': 162, 'g': 158, 'b': 158}]",17388909,saurabhbedarkar,1507,34,49,1911,126,0
149,40660437,Modeling and Visualization of Chair`s Wheel and Drill,1192,Furniture Design,47,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/8a951c40660437.Y3JvcCw5ODYsNzcwLDExNSw2.jpg,"[{'r': 210, 'g': 208, 'b': 207}]",39606281,k7810961dea9,1196,1,9,1120,106,2
150,43260533,Drill Machine | Material Exploration,1095,Industrial Design,115,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/99ce3943260533.Y3JvcCwyMTA4LDE2NTAsMTg1Myww.jpeg,"[{'r': 0, 'g': 255, 'b': 218}]",17063085,ShubhamPudke,1516,129,77,4105,281,0
151,49628669,3D Modelling & Rendering Exercise,960,Industrial Design,141,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/dda78449628669.Y3JvcCw5NDMsNzM4LDUzLDA.jpg,"[{'r': 255, 'g': 254, 'b': 254}]",63509289,basakakcay,989,316,53,1142,50,17
152,58876745,Ortho Drill,703,Industrial Design,69,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/cd1ddb58876745.Y3JvcCwxMjk0LDEwMTMsNiw5.jpg,"[{'r': 1, 'g': 1, 'b': 1}]",54444759,daminimdes2a4d,1064,2,18,883,67,0
153,6521549,Dental Drill w/ Fiber Optic Lens,1226,Industrial Design,162,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/6521549.546d00b44766d.jpg,"[{'r': 255, 'g': 255, 'b': 255}]",1793189,Peterbjernudd,2540,50,62,3851,153,1
154,65361737,Delta Power Drill,530,Industrial Design,133,8,0,https://mir-s3-cdn-cf.behance.net/projects/404/41e1ce65361737.Y3JvcCw0MDEwLDMxMzksMzM2LDc1Mg.png,"[{'r': 255, 'g': 255, 'b': 255}]",10400389,Frankesber1203,1767,31,38,2869,125,0
155,12979073,Hand Drill - Orthographic Projection,2139,Drawing,296,7,1,https://mir-s3-cdn-cf.behance.net/projects/404/12979073.54836aa128aa3.jpg,"[{'r': 248, 'g': 248, 'b': 248}]",4122435,hannahfrossard,2165,16,154,6061,501,0
156,19585223,Indexing Drill Jig,1869,Engineering,344,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/19585223.548fa4a2be8e5.jpg,"[{'r': 0, 'g': 0, 'b': 0}]",7807535,92amanjain,1872,25,6,907,50,2
157,21542055,Cordless drill,1791,Industrial Design,194,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/21542055.5472c0e914474.jpg,"[{'r': 240, 'g': 240, 'b': 240}]",7448951,vlieu,1894,6,8,1355,55,2
158,34003204,Product Design/ID Portfolio 2016,1343,Industrial Design,353,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/10a38734003204.Y3JvcCw4MTUsNjM3LDE4MSw3MA.jpg,"[{'r': 251, 'g': 251, 'b': 251}]",10333711,kylejohnrobertson,1771,31,31,1863,62,0
159,37393391,REVERSE ENGINEERING (POWER DRILL),1248,Industrial Design,163,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/55cea137393391.Y3JvcCwyNzc2LDIxNzAsMzUwLDI4NQ.jpg,"[{'r': 162, 'g': 165, 'b': 158}]",2094849,Simkenneth,2464,2,11,1084,16,0
160,40908079,WORX,1185,Industrial Design,278,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/ab72d040908079.Y3JvcCw5NjQsNzU0LDcxLDI5Nw.jpg,"[{'r': 85, 'g': 86, 'b': 85}]",30938175,9363457011b1f,1302,120,17,1382,52,31
161,45200163,Festool Household Companion,1070,Industrial Design,74,7,1,https://mir-s3-cdn-cf.behance.net/projects/404/8165cf45200163.Y3JvcCwyMDMzLDE1OTIsMjEwLDA.jpg,"[{'r': 36, 'g': 36, 'b': 35}]",31075963,ebenm,1301,2,15,272,25,0
162,45211249,Festool Cordless hand drill,1070,Industrial Design,84,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/aecc2145211249.Y3JvcCw0Mzc1LDM0MjQsMjgwLDA.jpg,"[{'r': 93, 'g': 94, 'b': 98}]",31075391,karimari,1301,7,11,781,33,0
163,52042087,Atlas Copco DM Series Drill,905,Computer Animation,40,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/33518252042087.Y3JvcCwxMDI1LDgwMiwxMjEsMA.jpg,"[{'r': 22, 'g': 20, 'b': 21}]",12008343,EvanSisson,1692,15,20,1581,179,2
164,53620291,APEX Revo 10.8V Drill Driver,863,Industrial Design,174,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/c3658453620291.Y3JvcCw1NzQ2LDQ0OTgsODY1LDQyNQ.png,"[{'r': 252, 'g': 252, 'b': 252}]",4979723,jtmartland,2082,96,14,809,26,0
165,53680183,KONEN - Drill Machine,843,Industrial Design,165,7,1,https://mir-s3-cdn-cf.behance.net/projects/404/79b9c853680183.Y3JvcCwxMTMwLDg4NCwxNzUsMA.png,"[{'r': 255, 'g': 255, 'b': 255}]",79130109,nereauv7871,868,106,38,1963,142,7
166,5678913,"a drill for a ""non-conventional user""",2549,Illustration,356,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/5678913.54688882d47af.jpg,"[{'r': 157, 'g': 160, 'b': 156}]",1759137,matthewmcmorran,2550,64,34,3127,79,0
167,65070989,Blueprint Arma Furadeira,537,Illustration,59,7,2,https://mir-s3-cdn-cf.behance.net/projects/404/bb73ce65070989.Y3JvcCw5MDIsNzA2LDAsOTg.png,"[{'r': 25, 'g': 37, 'b': 167}]",123483441,danlucaz,654,784,78,1272,226,72
168,67172031,Fiskars Y2,482,Industrial Design,103,7,1,https://mir-s3-cdn-cf.behance.net/projects/404/31cca467172031.5c9d2da0e1439.png,"[{'r': 255, 'g': 255, 'b': 254}]",13108671,manelmagalaf51,1645,15,14,432,32,0
169,72349451,Innovative Appliance: Kreg Mincer X1,344,Industrial Design,38,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/3f8cc972349451.Y3JvcCwxMjc1LDk5OCw1MCww.jpg,"[{'r': 74, 'g': 70, 'b': 64}]",46131837,moeketsijb6750,1132,33,18,297,41,0
170,8426997,3D Modeling/Concept Designs,2364,Industrial Design,289,7,0,https://mir-s3-cdn-cf.behance.net/projects/404/8426997.54774744b1c99.jpg,"[{'r': 211, 'g': 211, 'b': 211}]",2620615,federicocarbo,2364,33,58,1940,80,0
171,14977501,PRODUCT Power Drill Concept,2057,Industrial Design,373,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/14977501.5488e87e0a8b7.jpg,"[{'r': 254, 'g': 254, 'b': 254}]",5226389,kylegati,2058,0,21,2386,54,0
172,15722083,Lathe Work : Metals II | Spring 2014,2029,Industrial Design,301,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/15722083.5489f86f49c20.jpg,"[{'r': 243, 'g': 243, 'b': 239}]",3532777,MarinaAldarondo,2225,51,95,6070,218,0
173,20594295,Land Cube with frac direction indicators,1828,Digital Art,243,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/20594295.544168b17c5f8.jpg,"[{'r': 221, 'g': 218, 'b': 221}]",473351,southhill,3067,25,63,7482,200,6
174,25264831,MPD (Multi-Purpose Drill),1652,Industrial Design,115,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/8dcd3325264831.Y3JvcCwyMDU0LDE2MDgsMjUsMA.jpg,"[{'r': 255, 'g': 255, 'b': 255}]",12918665,EugeneFatsevych,1653,0,3,486,39,0
175,31897563,Power Drill,1412,Industrial Design,262,6,1,https://mir-s3-cdn-cf.behance.net/projects/404/1483b631897563.Y3JvcCw0MDg3LDMxOTksMjkyLDA.jpg,"[{'r': 46, 'g': 46, 'b': 46}]",4965991,devanshi_mehra,2083,263,32,1903,89,1
176,46729205,CAD and Rendering Project: Porter Cable Drill,1027,Industrial Design,131,6,1,https://mir-s3-cdn-cf.behance.net/projects/404/1e7a3846729205.Y3JvcCwxMjAyLDk0MCw5OCw1Mw.jpg,"[{'r': 134, 'g': 134, 'b': 134}]",7544755,GregHolder,1888,50,11,881,110,4
177,54818541,"Step by step guide, ""how to drill in concrete"".",826,Industrial Design,121,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/5071f954818541.Y3JvcCw4MTAsNjM0LDAsODg.jpg,"[{'r': 31, 'g': 28, 'b': 17}]",85597533,drillgeeks7469,826,0,0,121,6,0
