duration,views,appreciations,comments,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
2506,14726,1732,122,3159,9,8882,249409,25964,411
229,14334,1731,49,286,2,716,14557,1769,0
2397,36682,1728,85,2558,82,1172,59679,2662,7
1824,12519,1724,59,2515,182,7008,155144,21939,266
657,24768,1725,63,1209,3,11861,421578,28504,1
1619,15749,1722,60,2496,13,922,35760,2532,5
764,16326,1722,50,1912,103,4111,122464,9617,16
2329,26039,1721,49,2798,141,5188,89797,5576,18
1127,25048,1719,45,2281,18,3666,138896,9866,1
1579,49324,1716,2,2651,169,3480,804729,36088,66
796,16574,1716,57,2302,50,3850,128988,10722,0
395,19597,1715,29,1378,503,17112,659403,53880,19
175,21885,1709,97,1457,304,375,23260,1782,21
531,16866,1707,44,1226,152,588,22873,2339,11
1552,5263,1706,16,2068,233,5810,257054,70663,642
821,19708,1706,89,1379,277,1616,47133,4064,504
2061,36807,1704,75,2234,423,2248,66523,3523,2
1742,7404,1704,26,2068,233,5810,257054,70663,642
1446,29102,1700,64,2032,24,2383,54647,3567,5
1628,14095,1699,84,1628,127,5209,104033,12695,109
1398,20687,1699,37,1634,248,11284,393399,32428,527
820,17690,1697,64,2418,296,2993,83643,6498,64
2623,43739,1696,48,2959,215,37314,1775639,58226,10
1204,15860,1690,54,1540,301,2498,58025,4928,46
968,13101,1688,57,1984,1008,3304,103136,11971,29
2163,20960,1686,42,2408,2697,3477,106924,8453,301
1774,15496,1684,66,2412,18,3987,108933,7986,1
1690,17035,1681,66,2228,448,6726,202829,17302,7
996,30391,1681,64,1209,3,11861,421578,28504,1
3532,36973,1680,52,3533,248,750,66501,2818,73
1671,30560,1679,80,2897,0,67015,2026951,119070,0
2002,29270,1678,38,2208,75,341,42128,2063,4
1731,25864,1678,80,3607,662,3561,388615,25011,268
336,12960,1678,38,1548,53,861,18956,2149,1
2307,16533,1676,98,2367,66,1282,24981,2379,22
1232,15752,1674,82,2842,0,25518,848818,94598,26
986,19398,1673,46,1919,109,17062,501871,40273,9
872,2060,1668,0,872,0,857,252567,196857,26
287,15018,1665,55,1013,0,5773,152038,13737,0
1197,20495,1664,73,2027,350,3156,83224,7231,57
