ID,projectID,projectName,duration,field,views,appreciations,comments,foucs,pic,colors,ownerID,ownerName,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
3303,63634581,Hello，小青,402,Photography,9555,1236,31,516,https://mir-s3-cdn-cf.behance.net/projects/404/2a22b763634581.Y3JvcCw0MDQsMzE2LDAsMA.jpg,"[{'r': 248, 'g': 45, 'b': 36}]",23503805,haiquan,2262,77686,5409,296
3304,63936381,AIM - Tactical mechanical pencil (concept),394,Industrial Design,11251,1236,48,384,https://mir-s3-cdn-cf.behance.net/projects/404/7f35ef63936381.5ac251fbe9b58.jpg,"[{'r': 255, 'g': 255, 'b': 255}]",21922219,yonghwankim,2143,83737,6887,49
3305,63697437,Dina Interactive Lamp,392,Industrial Design,15800,1234,40,523,https://mir-s3-cdn-cf.behance.net/projects/404/46460063697437.Y3JvcCwxNzQwLDEzNjEsODQ4LDMzNg.jpg,"[{'r': 240, 'g': 240, 'b': 240}]",4258669,moakstudio,3125,88668,7368,61
3306,40536395,e motor X9,1024,Automotive Design,14364,1233,49,569,https://mir-s3-cdn-cf.behance.net/projects/404/10657440536395.Y3JvcCw4MjksNjQ5LDE2Myww.jpg,"[{'r': 18, 'g': 18, 'b': 18}]",3393463,wonywonhee,717,20346,1552,9
3307,41532453,Sony Zeus concept smartphone,983,Industrial Design,22084,1232,42,274,https://mir-s3-cdn-cf.behance.net/projects/404/6b108b41532453.Y3JvcCwxMTI2LDg4MSw1Miww.jpg,"[{'r': 5, 'g': 113, 'b': 255}]",265858,steeldrake,4684,664535,21009,219
3308,63075823,Mermaid earrings in progress.,415,Jewelry Design,1537,1232,1,5,https://mir-s3-cdn-cf.behance.net/projects/404/a959c863075823.Y3JvcCw4ODUsNjkzLDI1OCww.jpg,"[{'r': 134, 'g': 134, 'b': 133}]",64220485,Erik-Tadevosyan,822,242605,189559,25
3309,56970871,Antique Inspired Engagement Ring work in progress.,587,Jewelry Design,1422,1230,0,5,https://mir-s3-cdn-cf.behance.net/projects/404/906fe256970871.Y3JvcCw4ODUsNjkzLDI1OCww.jpg,"[{'r': 133, 'g': 133, 'b': 133}]",64220485,Erik-Tadevosyan,822,242605,189559,25
3310,10432965,Curve Hanger,2065,Furniture Design,16925,1229,41,508,https://mir-s3-cdn-cf.behance.net/projects/404/10432965.547ffd51dd993.jpg,"[{'r': 240, 'g': 243, 'b': 243}]",1591411,skittipoom,4445,144593,10753,36
3311,35676621,Torus - Hubless Floor Fan,1124,Industrial Design,13731,1227,41,467,https://mir-s3-cdn-cf.behance.net/projects/404/7d162a35676621.Y3JvcCwxMTEzLDg3MSwxMDc0LDQ5Mg.png,"[{'r': 237, 'g': 241, 'b': 253}]",30589389,ByeongjunKim,1772,50303,4655,38
3312,25841821,FamiLee,1460,Branding,12068,1226,55,525,https://mir-s3-cdn-cf.behance.net/projects/404/0c017225841821.5543a039a0671.png,"[{'r': 42, 'g': 28, 'b': 18}]",9787883,agenciayo,1176,28837,2745,1
3313,50709781,Spa Waterpark “Barionyx” Kazan,766,Interior Design,14682,1226,6,325,https://mir-s3-cdn-cf.behance.net/projects/404/d8effe50709781.Y3JvcCwxMTk1LDkzNSw1LDA.jpg,"[{'r': 15, 'g': 15, 'b': 15}]",70012857,tscd57,1735,73658,6531,2
3314,10140377,Helivehicle,2100,Automotive Design,16711,1225,75,771,https://mir-s3-cdn-cf.behance.net/projects/404/10140377.547f93a6dd3f6.jpg,"[{'r': 211, 'g': 211, 'b': 213}]",3226299,Jennymin,1840,52895,2923,18
3315,35016443,Muscle cars Pt/1,1142,Automotive Design,9083,1226,34,433,https://mir-s3-cdn-cf.behance.net/projects/404/de2ecc35016443.Y3JvcCw5NTQsNzQ1LDAsOTA.jpg,"[{'r': 112, 'g': 113, 'b': 113}]",20479125,SebastianoCiarcia,1968,40464,5570,37
3316,48604121,Piaget ring working progress,811,Fashion,1408,1226,0,5,https://mir-s3-cdn-cf.behance.net/projects/404/2385f248604121.Y3JvcCw1NzYsNDUxLDE5Myww.jpg,"[{'r': 139, 'g': 139, 'b': 139}]",64220485,Erik-Tadevosyan,822,242605,189559,25
3317,47164771,Future Football Helmet Design Case Study,814,Art Direction,11796,1224,77,455,https://mir-s3-cdn-cf.behance.net/projects/404/16a14e47164771.Y3JvcCwxMTU3LDkwNiwxMTQsMTE0.jpg,"[{'r': 3, 'g': 3, 'b': 3}]",2009563,danestorrusten,4001,133393,10756,106
