ID,projectID,projectName,field,duration,views,appreciations,comments,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments,pic,color,,
50,35956191,Project: HERMES,Art Direction,1177,63893,5309,252,3616821,wojtekfus,2104,44,14172,315444,31868,97,https://mir-s3-cdn-cf.behance.net/projects/404/9c173335956191.Y3JvcCwxNjAwLDEyNTAsMCwy.jpg,"[{'r': 31, 'g': 30, 'b': 36}]",,
51,6796261,"BUGATTI   GANGLOFF   CONCEPT CAR , INVISIUM",Automotive Design,2350,175952,5224,268,1251135,PaulBreshke,2572,497,4900,301383,11759,393,https://mir-s3-cdn-cf.behance.net/projects/404/6796261.546e799a80a65.jpg,"[{'r': 8, 'g': 6, 'b': 38}]",,
52,14266059,Vespa Cam,Branding,1973,45753,5211,231,1679995,rotimisolola,2457,114,5448,153623,12584,33,https://mir-s3-cdn-cf.behance.net/projects/404/14266059.548543fd93421.jpg,"[{'r': 175, 'g': 220, 'b': 218}]",,
53,31039385,GAME BOY 1up,Digital Art,1331,105898,5200,191,3386055,frenner,2135,186,8211,301772,21234,6,https://mir-s3-cdn-cf.behance.net/projects/404/80f19631039385.Y3JvcCw3MjIsNTY1LDIxMSw1NA.jpg,"[{'r': 233, 'g': 243, 'b': 248}]",,
54,4650245,Bzzz Premium Honey,Graphic Design,2529,50151,5162,171,646405,backbone,2842,0,25518,848818,94598,26,https://mir-s3-cdn-cf.behance.net/projects/404/a5a3694650245.Y3JvcCwxNzgyLDEzOTQsMTMsMA.jpg,"[{'r': 255, 'g': 254, 'b': 254}]",,
55,3402949,Marina's birds,Furniture Design,2661,45983,5103,297,793203,TsarukAhmadova,2762,874,5626,250232,36874,1672,https://mir-s3-cdn-cf.behance.net/projects/404/8586a43402949.Y3JvcCwxMDcxLDgzOCwyMTksODQ.jpg,"[{'r': 236, 'g': 232, 'b': 234}]",,
56,12704031,MONSTER,Furniture Design,2037,48602,5023,279,1023937,bolimond,2656,499,20127,996149,94455,1704,https://mir-s3-cdn-cf.behance.net/projects/404/060ec312704031.Y3JvcCwxMDk5LDg2MCwxNTIsMA.jpg,"[{'r': 255, 'g': 4, 'b': 0}]",,
57,56297521,Logitech CRAFT,Art Direction,657,75968,4999,158,53835,hellocolor,4259,409,49422,2255796,158370,328,https://mir-s3-cdn-cf.behance.net/projects/404/29ad1c56297521.Y3JvcCwxMjU3LDk4NCwxNSww.jpg,"[{'r': 5, 'g': 13, 'b': 17}]",,
58,33024617,Square Magazine Mockup - Free PSD,Branding,1259,128392,4973,47,136967,blugraphic,3484,2169,30277,3795317,188511,508,https://mir-s3-cdn-cf.behance.net/projects/404/f0712a33024617.Y3JvcCw2MDAsNDY4LDAsMA.jpg,"[{'r': 202, 'g': 202, 'b': 202}]",,
59,33799862,Naturalist,Exhibition Design,1238,90210,4887,108,2715165,misonzhnikov,2237,86,3069,123968,7626,2,https://mir-s3-cdn-cf.behance.net/projects/404/72742c33799862.Y3JvcCw5NzYsNzYyLDAsMTQ.jpg,"[{'r': 225, 'g': 228, 'b': 237}]",,
60,7183815,Vioo Classic,Industrial Design,2325,132513,4884,130,937862,maxencecouthier,2693,23,7440,353543,18492,68,https://mir-s3-cdn-cf.behance.net/projects/404/7183815.54708e3237d57.jpg,"[{'r': 28, 'g': 29, 'b': 27}]",,
61,28120617,WATCHme,Industrial Design,1439,52629,4869,245,79292,10ein,3977,0,4416,237970,17255,1,https://mir-s3-cdn-cf.behance.net/projects/404/05ac5f28120617.55afb84c4fc2c.jpg,"[{'r': 225, 'g': 228, 'b': 233}]",,
62,27846389,URBAN OASIS | a green island in today's megalopoleis,Industrial Design,1448,48068,4855,214,2257441,AndreamangoneID,2320,98,2662,90577,7951,93,https://mir-s3-cdn-cf.behance.net/projects/404/84e6e427846389.Y3JvcCwzMTM0LDI0NTMsMjQ3LDIxNg.jpg,"[{'r': 243, 'g': 243, 'b': 243}]",,
63,26937201,Edge,Industrial Design,1483,49916,4698,201,10803147,kimseungwoo,1634,248,11284,393399,32428,527,https://mir-s3-cdn-cf.behance.net/projects/404/2b275926937201.Y3JvcCwxNDAzLDEwOTgsMCww.jpeg,"[{'r': 0, 'g': 204, 'b': 255}]",,
64,44562103,XYZ,Branding,973,63240,4680,196,1496761,pascalruelle,2506,238,9115,435031,25789,68,https://mir-s3-cdn-cf.behance.net/projects/404/ea4c4f44562103.Y3JvcCwyMDEzLDE1NzYsMTI3Nyw5MDk.png,"[{'r': 13, 'g': 13, 'b': 13}]",,
65,20696469,Exo Prosthetic Leg,Industrial Design,1713,81531,4669,134,4957913,williamroot,1973,40,4760,210594,14994,6,https://mir-s3-cdn-cf.behance.net/projects/404/20696469.54a56c42d5586.jpg,"[{'r': 236, 'g': 173, 'b': 87}]",,
66,3613983,AJORÍ,Crafts,2637,49753,4660,242,1064581,photoAlquimia,2639,147,2757,80774,7432,11,https://mir-s3-cdn-cf.behance.net/projects/404/1d14e83613983.Y3JvcCw3MzksNTc4LDIxMCw2OQ.jpg,"[{'r': 236, 'g': 234, 'b': 237}]",,
67,47048619,巫女の湯 - Bath Powder Packaging Design,Branding,906,40869,4646,118,13553021,chiunhauyou,1517,261,4995,131696,11905,176,https://mir-s3-cdn-cf.behance.net/projects/404/ab4ed247048619.Y3JvcCw4MzIsNjUxLDQwNSwxMTM.jpg,"[{'r': 234, 'g': 232, 'b': 240}]",,
68,10243717,McDonald's Packaging Redesign,Graphic Design,2154,46977,4579,203,1201461,robbyedesign,2589,162,2702,97317,8289,27,https://mir-s3-cdn-cf.behance.net/projects/404/10243717.547fb8d20b09e.png,"[{'r': 238, 'g': 227, 'b': 224}]",,
69,41049569,P L Λ N E T Λ R I U M,Architecture,1070,15739,4520,98,3991167,keremcankirilmaz,2068,233,5810,257054,70663,642,https://mir-s3-cdn-cf.behance.net/projects/404/d35c5441049569.Y3JvcCwxNTEzLDExODQsMjUwLDA.jpg,"[{'r': 63, 'g': 56, 'b': 49}]",,
70,30279723,Sweets of the World,Graphic Design,1357,41412,4461,211,15165033,onefold,1462,242,1300,65422,6586,58,https://mir-s3-cdn-cf.behance.net/projects/404/a9fe5530279723.561c061a0e8c0.png,"[{'r': 241, 'g': 241, 'b': 241}]",,
71,16925735,"Honey, I'm Home!",Furniture Design,1872,79293,4446,75,925913,luzcabrera,2698,16,280,82941,4569,1,https://mir-s3-cdn-cf.behance.net/projects/404/16925735.548bb47f08377.jpg,"[{'r': 235, 'g': 215, 'b': 170}]",,
72,16820519,KLIPPA: Prosthetic Leg for Rock Climbers,Industrial Design,1876,70007,4433,213,1196909,Kailin,2591,288,1761,86373,5194,20,https://mir-s3-cdn-cf.behance.net/projects/404/4c0c4016820519.5623188e9a513.jpg,"[{'r': 78, 'g': 50, 'b': 41}]",,
73,20059327,LICHEN - exosqueleton watch,Graphic Design,1696,30084,4393,219,5990009,abijuduval,1866,176,4298,115244,17582,549,https://mir-s3-cdn-cf.behance.net/projects/404/20059327.54b677d1a600c.jpg,"[{'r': 238, 'g': 238, 'b': 238}]",,
